model,lr,bs,wd,env0_in_acc,env0_out_acc,env1_in_acc,env1_out_acc,env0_in_md,env0_out_md,env1_in_md,env1_out_md,env0_in_dp,env0_out_dp,env1_in_dp,env1_out_dp,env0_in_eo,env0_out_eo,env1_in_eo,env1_out_eo,env0_in_auc,env0_out_auc,env1_in_auc,env1_out_auc,epoch,loss,step,step_time
MLDG,0.0001,32,0.0,0.5100354191,0.5260663507,0.5702233251,0.4975173784,0.0293960571,0.0185436606,0.0235255957,0.0255963206,0.9214409381,0.9129230769,0.919592448,0.9134061704,0.9466666667,0.8728448276,0.974159829,0.8400218301,0.5371162527,0.5178604651,0.5267201312,0.5298989605,302.24321133,1.0534904503,8000,0.1112853608
MLDG,0.0001,32,0.0001,0.4887839433,0.5260663507,0.98808933,0.5173783515,0.0179579854,0.0876329541,0.0868604779,0.0373312831,0.966471247,0.856754717,0.8241170918,0.8871198316,0.9275053305,0.8485991379,0.9983667228,0.8321221464,0.5266939239,0.5682790698,0.5579028715,0.5171880566,302.24321133,0.0248675827,8000,0.111697506
MLDG,0.0001,64,0.0,0.520661157,0.5118483412,1.0,0.5719960278,0.0053491592,0.0201958418,0.0877473354,0.0607270896,0.9871487821,0.9726896552,0.8200647953,0.8402054795,0.8470290771,0.8685661765,1.0,0.8105669046,0.5142804812,0.516744186,0.5930767724,0.5337324719,604.48642266,5.4841e-06,8000,0.1759373751
MLDG,0.0001,64,0.0001,0.5123966942,0.4691943128,1.0,0.5471698113,0.002004832,0.050652504,0.0877455771,0.0842926502,0.9766531179,0.9538181818,0.8200647953,0.8382935818,0.9882352941,0.8559782609,1.0,0.837451646,0.5082303311,0.5570232558,0.5782044371,0.5478723404,604.48642266,9.1643e-06,8000,0.1750422616
Mixup,5e-05,32,0.0,0.5253837072,0.5734597156,0.9985111663,0.5690168818,0.0180065036,0.0076805055,0.0878557265,0.0680887103,0.9396074696,0.9492168961,0.8202796869,0.8097679698,0.8424908425,0.8716845878,0.9991853339,0.8099755582,0.5159348191,0.5224186047,0.5550633276,0.5444152984,302.24321133,0.019535425,8000,0.0423584585
Mixup,5e-05,32,0.0001,0.520661157,0.5023696682,1.0,0.5680238332,0.024620384,0.132794857,0.0877484977,0.026735276,0.9321058063,0.8003265306,0.8200647953,0.9710597622,0.8990147783,0.908203125,1.0,0.8782772254,0.5093351925,0.5569302326,0.5651961913,0.5314007902,302.24321133,4.3026e-06,8000,0.0424886146
Mixup,5e-05,64,0.0,0.5360094451,0.5402843602,1.0,0.594836147,0.0777875781,0.0079579949,0.0877478123,0.0793329775,0.8670413556,0.9689922481,0.8200647953,0.8420608678,0.9616161616,0.9225225225,1.0,0.7675023886,0.5658721906,0.519627907,0.6077797598,0.5784999514,604.48642266,9.137e-07,8000,0.0769111757
Mixup,5e-05,64,0.0001,0.5383707202,0.5402843602,1.0,0.5868917577,0.032767415,0.0690646768,0.0877480507,0.0884130895,0.8977278549,0.8074935401,0.8200647953,0.7803188109,0.9470588235,0.8784313725,1.0,0.8009775243,0.5225344457,0.5188837209,0.5969220565,0.5756663104,604.48642266,5.1191e-06,8000,0.0767443771
Mixup,0.0001,32,0.0,0.4958677686,0.5308056872,0.9952853598,0.5471698113,0.0290051997,0.1006522179,0.0887081623,0.0249833167,0.9582835337,0.8236434109,0.8155588224,0.9412003715,0.9759547383,0.8188552189,0.9981316193,0.9919467315,0.5197929714,0.572372093,0.5426022448,0.5145122899,302.24321133,0.0266500698,8000,0.0424701028
Mixup,0.0001,32,0.0001,0.5100354191,0.5402843602,1.0,0.5868917577,0.0504057109,0.0758725107,0.0877495408,0.0392869711,0.8893947655,0.8630087209,0.8200647953,0.9167112586,0.9426666667,0.893968254,1.0,0.9084636277,0.5342507031,0.5426046512,0.604687582,0.5156862269,302.24321133,1.79543e-05,8000,0.0423260355
Mixup,0.0001,64,0.0,0.5371900826,0.5545023697,1.0,0.5749751738,0.0835025907,0.0015926063,0.0877474844,0.0933516324,0.8162147934,0.9526153846,0.8200647953,0.7791874222,0.9602564103,0.9777777778,1.0,0.7567764235,0.5757036844,0.5133023256,0.6351732447,0.5684364779,604.48642266,7.33e-08,8000,0.0767226348
Mixup,0.0001,64,0.0001,0.5135773318,0.5118483412,1.0,0.5739821251,0.0511620939,0.0246129334,0.0877496302,0.0551075339,0.9072545963,0.9500952381,0.8200647953,0.8844268205,0.9986666667,0.849609375,1.0,0.9932366362,0.5332226502,0.5119069767,0.5899843423,0.5355581463,566.70602125,1.06153e-05,7500,0.0766222229
SagNet,5e-05,32,0.0,0.5242030697,0.5971563981,0.9995037221,0.588877855,0.0640114844,0.0264033377,0.0870732367,0.0831102729,0.8528442957,0.934974359,0.8220456281,0.8092905793,0.8235294118,0.99609375,0.9975903614,0.8535564854,0.5442594475,0.5204651163,0.5588571258,0.5718732796,302.24321133,0.0129892083,8000,0.1147255373
SagNet,5e-05,32,0.0001,0.5159386068,0.5781990521,0.9975186104,0.5580933466,0.0556375682,0.0645153522,0.0864575505,0.0592888594,0.9017230098,0.8467692308,0.8234768693,0.8881872559,0.8928571429,0.9955555556,0.9975903614,0.8223239877,0.54757994,0.5320930233,0.549256787,0.5347282943,302.24321133,0.0117127121,8000,0.1156309557
SagNet,5e-05,64,0.0,0.5407319953,0.5165876777,1.0,0.588877855,0.0505171418,0.1136797071,0.0877015293,0.0496334434,0.8610202351,0.7835555556,0.8200647953,0.8662416698,0.8773333333,0.703125,1.0,0.7869669723,0.5345815707,0.6071627907,0.5454483506,0.5387318242,604.48642266,0.0006743967,8000,0.2068215566
SagNet,5e-05,64,0.0001,0.5100354191,0.5213270142,1.0,0.5829195631,0.0454911292,0.0387971997,0.0877965689,0.0526739955,0.843024592,0.8690526316,0.8200647953,0.884816703,0.775862069,0.7336956522,1.0,0.7683666931,0.5297603573,0.5480930233,0.5528688707,0.5440185887,604.48642266,0.0243066847,8000,0.2094442949
SagNet,0.0001,32,0.0,0.4399503722,0.4468718967,0.0,0.0707325339,0.0058668256,0.0035740733,0.0091642141,0.0081154704,0.9961832061,0.992,0.9977410941,0.9997554414,1.0,1.0,0.9946348501,0.9916317992,0.5393968757,0.5141395349,0.5580086193,0.5482730982,0.7318070531,0.7227777839,0,12.415788888
SagNet,0.0001,32,0.0001,0.4399503722,0.4468718967,0.0,0.0707334429,0.0058590174,0.0035787225,0.0091646314,0.0081236959,0.9961832061,0.992,0.9977410941,0.9997554414,1.0,1.0,0.9946348501,0.9916317992,0.5392964337,0.5144186047,0.557989186,0.5482973866,0.7318070531,0.7227919698,0,1.2925949097
SagNet,0.0001,64,0.0,0.6039702233,0.5849056604,0.0,0.072429873,0.0099472702,0.0016638935,0.013484031,0.0096933246,0.9321355427,0.8467692308,0.6543543886,0.642006538,0.9625,0.6392045455,0.7375839393,0.7018491024,0.5390541914,0.5074418605,0.5460220137,0.5281947278,0.7156817913,0.7142790556,0,0.6687479019
SagNet,0.0001,64,0.0001,0.6039702233,0.5849056604,0.0,0.0724309459,0.0099612474,0.0016623437,0.0134948194,0.0096983612,0.9099418393,0.8467692308,0.6543543886,0.642006538,0.9625,0.6392045455,0.7375839393,0.7018491024,0.5390719164,0.5075348837,0.5459965232,0.5281582953,0.7156817913,0.7143006921,0,1.7395341396
VREx,5e-05,32,0.0,0.5203473945,0.5163853029,0.0,0.7266672254,0.0052272677,0.0033619404,0.0111851692,0.0097777247,0.9203963191,0.9355787223,0.8656328645,0.8545290134,0.9271929825,0.9526209677,0.8866160692,0.8512353786,0.5301798502,0.5190697674,0.5576527615,0.550398329,0.7266672254,0.0,0,38.315090179
VREx,5e-05,32,0.0001,0.5203473945,0.5163853029,0.0,0.7266672254,0.0052259564,0.0033585429,0.0111851096,0.0097698569,0.9203963191,0.9355787223,0.8656328645,0.8545290134,0.9271929825,0.9526209677,0.8866160692,0.8512353786,0.5301562168,0.5191627907,0.5576383757,0.5503416561,0.7266672254,0.0,0,0.7814879417
VREx,5e-05,64,0.0,0.5967741935,0.5739821251,0.0,0.7132893205,0.0043042898,0.0094477236,0.0097056031,0.010438174,0.7876378287,0.688,0.7078901435,0.5926214197,0.9142857143,0.3515625,0.7493890005,0.5511854951,0.5221267696,0.5465116279,0.544237172,0.5446015091,0.7132893205,0.0,0,0.5702955723
VREx,5e-05,64,0.0001,0.5967741935,0.5739821251,0.0,0.7132893205,0.0043009818,0.0094623566,0.0096996129,0.0104320943,0.7876378287,0.688,0.7078901435,0.5926214197,0.9142857143,0.3515625,0.7493890005,0.5511854951,0.5220913195,0.5465116279,0.5442068862,0.5445812688,0.7132893205,0.0,0,0.7344517708
VREx,0.0001,32,0.0,0.4962779156,0.5124131082,0.0,0.7266672254,0.0096203685,0.0033885837,0.0159019828,0.0145896673,0.9876093498,0.9324265029,0.9179491704,0.9332521075,0.9828767123,0.966796875,0.9430305872,0.9633430699,0.5458192518,0.5066976744,0.5611797925,0.5522968684,0.7266672254,0.0,0,1.2416906357
VREx,0.0001,32,0.0001,0.4965260546,0.5124131082,0.0,0.7266672254,0.0096179843,0.0034032464,0.0158998966,0.0145863295,0.9876093498,0.9324265029,0.9173670847,0.9332521075,0.9828767123,0.966796875,0.9430305872,0.9633430699,0.5458192518,0.5066976744,0.5611709592,0.552268532,0.7266672254,0.0,0,0.4364581108
VREx,0.0001,64,0.0,0.5863523573,0.5680238332,0.0,0.7132893205,0.007551223,0.0078583658,0.0130465329,0.0109009147,0.8629770992,0.688,0.5805791389,0.4023972603,0.8928571429,0.46875,0.6367960718,0.580195258,0.5295417484,0.5284651163,0.5462070093,0.5319067975,0.7132893205,0.0,0,1.2913224697
VREx,0.0001,64,0.0001,0.5863523573,0.5680238332,0.0,0.7132893205,0.0075436234,0.0078675747,0.0130376518,0.0108924508,0.8629770992,0.688,0.5805791389,0.4023972603,0.8928571429,0.46875,0.6367960718,0.580195258,0.5294649399,0.5285581395,0.5461825283,0.5319877587,0.7132893205,0.0,0,6.0414953232
