metric, step, value
env1_in_demographic_parity, 2001, 0.3313763737678528
env1_in_demographic_parity, 2501, 0.3313763737678528
env1_in_demographic_parity, 3001, 0.3313763737678528
env1_in_demographic_parity, 3501, 0.3313763737678528
env1_in_demographic_parity, 4001, 0.3313763737678528
env1_in_demographic_parity, 4501, 0.3313763737678528
env1_in_demographic_parity, 5001, 0.3313763737678528
env1_in_demographic_parity, 5501, 0.3313763737678528
env1_in_demographic_parity, 6001, 0.3313763737678528
env1_in_demographic_parity, 6501, 0.3313763737678528
env1_in_demographic_parity, 7001, 0.3313763737678528
env1_in_demographic_parity, 7501, 0.3313763737678528
env1_in_demographic_parity, 8001, 0.3313763737678528
env1_in_equalized_odds, 1, 0.0
env1_in_equalized_odds, 501, 0.5833333134651184
env1_in_equalized_odds, 1001, 1.0
env1_in_equalized_odds, 1501, 0.8571428656578064
env1_in_equalized_odds, 2001, 1.0
env1_in_equalized_odds, 2501, 1.0
env1_in_equalized_odds, 3001, 1.0
env1_in_equalized_odds, 3501, 1.0
env1_in_equalized_odds, 4001, 1.0
env1_in_equalized_odds, 4501, 1.0
env1_in_equalized_odds, 5001, 1.0
env1_in_equalized_odds, 5501, 1.0
env1_in_equalized_odds, 6001, 1.0
env1_in_equalized_odds, 6501, 1.0
env1_in_equalized_odds, 7001, 1.0
env1_in_equalized_odds, 7501, 1.0
env1_in_equalized_odds, 8001, 1.0
env1_in_auc_score, 1, 0.55510014295578
env1_in_auc_score, 501, 0.5617876648902893
env1_in_auc_score, 1001, 0.5580483675003052
env1_in_auc_score, 1501, 0.6042857766151428
env1_in_auc_score, 2001, 0.5740121603012085
env1_in_auc_score, 2501, 0.5963038802146912
env1_in_auc_score, 3001, 0.5566821098327637
env1_in_auc_score, 3501, 0.6196023225784302
env1_in_auc_score, 4001, 0.6209326386451721
env1_in_auc_score, 4501, 0.6167619228363037
env1_in_auc_score, 5001, 0.6148204207420349
env1_in_auc_score, 5501, 0.615108072757721
env1_in_auc_score, 6001, 0.6155035495758057
env1_in_auc_score, 6501, 0.6159349679946899
env1_in_auc_score, 7001, 0.6165821552276611
env1_in_auc_score, 7501, 0.6169057488441467
env1_in_auc_score, 8001, 0.6167619228363037
env2_in_accuracy, 1, 0.9663774371147156
env2_in_accuracy, 501, 0.9663774371147156
env2_in_accuracy, 1001, 0.9758676886558533
env2_in_accuracy, 1501, 0.9861713647842407
env2_in_accuracy, 2001, 0.9945769906044006
env2_in_accuracy, 2501, 0.9959327578544617
env2_in_accuracy, 3001, 0.9924077987670898
env2_in_accuracy, 3501, 0.9983730912208557
env2_in_accuracy, 4001, 1.0
env2_in_accuracy, 4501, 1.0
env2_in_accuracy, 5001, 1.0
env2_in_accuracy, 5501, 1.0
env2_in_accuracy, 6001, 1.0
env2_in_accuracy, 6501, 1.0
env2_in_accuracy, 7001, 1.0
env2_in_accuracy, 7501, 1.0
env2_in_accuracy, 8001, 1.0
env2_in_max_difference, 1, 0.0009970366954803467
env2_in_max_difference, 501, 0.004684619605541229
env2_in_max_difference, 1001, 0.005778464488685131
env2_in_max_difference, 1501, 0.019671013578772545
env2_in_max_difference, 2001, 0.013683520257472992
env2_in_max_difference, 2501, 0.01856546849012375
env2_in_max_difference, 3001, 0.015960413962602615
env2_in_max_difference, 3501, 0.01358298771083355
env2_in_max_difference, 4001, 0.01328476145863533
env2_in_max_difference, 4501, 0.013352377340197563
env2_in_max_difference, 5001, 0.013444021344184875
env2_in_max_difference, 5501, 0.013444557785987854
env2_in_max_difference, 6001, 0.013445587828755379
env2_in_max_difference, 6501, 0.013445796445012093
env2_in_max_difference, 7001, 0.013446571305394173
env2_in_max_difference, 7501, 0.01344645582139492
env2_in_max_difference, 8001, 0.013446597382426262
env2_in_demographic_parity, 1, 0.0
env2_in_demographic_parity, 501, 0.19330288469791412
env2_in_demographic_parity, 1001, 0.3313763737678528
env2_in_demographic_parity, 1501, 0.38660576939582825
env2_in_demographic_parity, 2001, 0.3313763737678528
env2_in_demographic_parity, 2501, 0.3313763737678528
env2_in_demographic_parity, 3001, 0.3313763737678528
env2_in_demographic_parity, 3501, 0.3313763737678528
env2_in_demographic_parity, 4001, 0.3313763737678528
env2_in_demographic_parity, 4501, 0.3313763737678528
env2_in_demographic_parity, 5001, 0.3313763737678528
env2_in_demographic_parity, 5501, 0.3313763737678528
env2_in_demographic_parity, 6001, 0.3313763737678528
